traditional,simplified,pronunciation,audio,radical,definitions,pos
一半个仔,一半个仔,tsi̍t-puànn-ê-á,11,,幾個、一兩個、少數幾個。,名
一半日仔,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,12,,一兩天。,熟
一口灶,一口灶,tsi̍t kháu-tsàu,13652,,一戶人家。,名
一句話三角六尖。,一句话三角六尖。,Tsi̍t kù uē sann kak la̍k tsiam.,60014,,比喻話鋒尖利，講話帶刺。,
一喙掛雙舌。,一喙挂双舌。,Tsi̍t tshuì kuà siang tsi̍h. ,60026,,指人口齒伶俐。,
一四界,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,13,,遍地、到處。,副
一垺屎,一垺屎,tsi̍t-pû-sái,25,,一坨屎、一坨大便。|形容一團無用的東西或人。,名|形
一大拖,一大拖,tsi̍t-tuā-thua,13653,, 一大堆、很多。,數量
一定,一定,it-tīng,20,,必定、必然。|固定的。,副|形
一家伙仔,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,27,,一家子。全家人、同一家人。,名
一寡,一寡,--tsi̍t-kuá,36,,一些、少許，也可以單說「寡」(--kuá)。,副
一寡仔,一寡仔,tsi̍t-kuá-á,37,,一點點、一些些。,副
一對時,一对时,tsi̍t-tuì-sî,38,,一晝夜、二十四小時。,時
一屑仔,一屑仔,tsi̍t-sut-á,26,,一點點。形容體積很小或數量很少。,形
一年換二十四个頭家。,一年换二十四个头家。,Tsi̍t nî uānn jī-tsa̍p-sì ê thâu-ke. ,60015,,諷刺人沒有定性，常常換老闆。,
一律,一律,it-lu̍t,22,,全部都一樣。,副
一必一中,一必一中,it-pit-it-tiòng,13910,,每次所說或所做都不曾失誤。非常精準、準確。,熟
一斗較贏九石。,一斗较赢九石。,Tsi̍t táu khah iânn káu tsio̍h. ,60008,,少量的精品，勝過眾多的粗糙品。,
一日到暗,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,7,,一天到晚、從早到晚，整天。,熟
一日剃頭，三日緣投。,一日剃头，三日缘投。,"Tsi̍t ji̍t thì-thâu, sann ji̍t iân-tâu. ",60010,,理髮後會使人看起來清爽有神，自己順眼，別人也會有好印象。,
一日徙栽，三日徛黃。,一日徙栽，三日徛黄。,"Tsi̍t ji̍t suá tsai, sann ji̍t khiā n̂g. ",60012,,做人要有定性，不要見異思遷。,
一日討海，三日曝網。,一日讨海，三日曝网。,"Tsi̍t ji̍t thó-hái, sann ji̍t pha̍k bāng. ",60011,,比喻一曝十寒。,
一日走拋拋，一暝點燈膋。,一日走抛抛，一暝点灯膋。,"Tsi̍t ji̍t tsáu-pha-pha, tsi̍t mê tiám ting-lâ. ",60009,,比喻本末倒置。,
一旦,一旦,it-tàn,14,,假使有一天。|短暫的時間。,副|名
一時仔,一时仔,tsi̍t-sî-á,14632,,一下子。一段不長的時間。,時
一暝全頭路，天光無半步。,一暝全头路，天光无半步。,"Tsi̍t mê tsuân thâu-lōo, thinn-kng bô-puànn-pōo. ",60029,,光說不練，紙上談兵。,
一月日,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,6,,一個月。,時
一枝草，一點露。,一枝草，一点露。,"Tsi̍t ki tsháu, tsi̍t tiám lōo. ",60018,,有草就有露水，天生我才必有用。,
一某無人知，兩某相卸代。,一某无人知，两某相卸代。,"Tsi̍t bóo bô-lâng tsai, nn̄g bóo sio-sià-tāi. ",60019,,家中二妻爭執，因互相謾罵而使得家醜外揚。,
一概,一概,it-khài,34,,一律、完全。,副
一樣米飼百樣人。,一样米饲百样人。,Tsi̍t iūnn bí tshī pah-iūnn lâng. ,60030,,比喻這個社會上，有著各式各樣、形形色色的人。,
一步棋，一步著。,一步棋，一步着。,"Tsi̍t pōo kî, tsi̍t pōo tio̍h. ",60017,,意謂按部就班，做事有計畫。,
一生,一生,it-sing,15,,畢生的、一輩子的。|畢生、一輩子。,形|名
一甲子,一甲子,tsi̍t kah-tsí,17,,六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。,時
一疕仔,一疕仔,tsi̍t-phí-á,13909,,一小片、一點點。形容微不足道，帶有貶義。,形
一百空一,一百空一,tsi̍t-pah khòng-it,18,,一百零一。,數
一目𥍉仔,一目𥍉仔,tsi̍t-ba̍k-nih-á,16,,一瞬間、一眨眼。指很短暫的時間。,時
一直,一直,it-ti̍t,21,,朝同一個方向直行而去。|持續不間斷。,副|副
一睏仔,一困仔,tsi̍t-khùn-á,33,,一陣子、一會兒。|一口氣。,副|副
一礐屎,一礐屎,tsi̍t-ha̍k-sái,42,,一糞坑的大便。|形容一群無用的人或東西。,名|形
一粒一,一粒一,it-lia̍p-it,31,,最好的、第一流的。|最投契的。,形|形
一粒田螺煮九碗公湯。,一粒田螺煮九碗公汤。,Tsi̍t lia̍p tshân-lê tsú káu uánn-kong thng. ,60024,,比喻實質的東西少，水份卻很多。,
一粒米，百粒汗。,一粒米，百粒汗。,"Tsi̍t lia̍p bí, pah lia̍p kuānn. ",60025,,農夫種田辛勞，糧食不可浪費。,
一耳空入，一耳空出。,一耳空入，一耳空出。,"Tsi̍t hīnn-khang ji̍p, tsi̍t hīnn-khang tshut. ",60016,,右耳進、左耳出。比喻善忘。,
一致,一致,it-tì,23,,趨向相同。,形
一般,一般,it-puann,28,,普遍性的、平常的。,形
一觸久仔,一触久仔,tsi̍t-tak-kú-á,43,,一會兒、一下子。,時
一路,一路,tsi̍t-lōo,35,,沿途、路上。 ,名
一遍賊，百世賊。,一遍贼，百世贼。,"Tsi̍t piàn tsha̍t, pah sì tsha̍t. ",60028,,僅因一人犯錯，後代子孫將蒙上陰影。,
一鄉一俗。,一乡一俗。,Tsi̍t hiong tsi̍t sio̍k. ,60027,,各地風俗大不同。,
一錢，二緣，三媠，四少年。,一钱，二缘，三媠，四少年。,"It tshiân, jī iân, sann suí, sì siàu-liân. ",60031,,形容男孩子追求女性的各項條件。,
一隻牛剝雙領皮。,一只牛剥双领皮。,Tsi̍t tsiah gû pak siang niá phuê. ,60022,,比喻雙重剝削。,
一隻蝨母嗙甲水牛大。,一只虱母嗙甲水牛大。,Tsi̍t tsiah sat-bó pòng kah tsuí-gû tuā. ,60023,,吹牛太過。,
一霎仔久,一霎仔久,tsi̍t-tiap-á-kú,39,,一瞬間、一下子。形容很短的時間。,副
一面,一面,tsi̍t-bīn,24,,描述兩種以上的事情同時進行著。|片面的，單方面的。,副|形
一面抹壁雙面光。,一面抹壁双面光。,Tsi̍t bīn buah-piah siang bīn kng. ,60020,,比喻做人圓融，兩方都不得罪。,
一點仔,一点仔,tsi̍t-tiám-á,41,,一點兒、一 點點。形容數量極少。,形
丁,丁,ting,46,一,天干的第四位，也指排序或等級為第四。|男子。|姓氏。,名|名|名
七,七,tshit,47,一,數字。|常和八連用成為詞組，用來表示強調或重複的意思。|傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(tsò-tshit)或是「做旬」(tsò-sûn)，到七旬結束才算功德圓滿。,數|形|名
七仔較興八仔。,七仔较兴八仔。,Tshit--á khah hìng peh--á. ,60037,,形容兩人同樣有興緻。,
七坐八爬九發牙。,七坐八爬九发牙。,Tshit tsē peh pê káu huat-gê. ,60036,,嬰兒七個月大時學會坐、八個月大學會爬、九個月大時就長牙齒。,
七夕,七夕,tshit-sia̍h,76,,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。,名
七娘媽,七娘妈,Tshit-niû-má,131,,註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。,名
七娘媽生,七娘妈生,Tshit-niû-má-senn/Tshit-niû-má-sinn,132,,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。,名
七孔,七孔,tshit-khóng,83,,七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。,名
七字仔,七字仔,tshit-jī-á/tshit-lī-á,99,,七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。,名
七早八早,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,103,,一大清早。|形容時間還早。,時|時
七星,七星,tshit-tshenn/tshit-tshinn,121,,北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。,名
七晏八晏,七晏八晏,tshit-uànn-peh-uànn/tshit-uànn-pueh-uànn,13912,,很晚、很遲。,副
七月半,七月半,tshit-gue̍h-puànn/tshit-ge̍h-puànn,13911,,農曆七月十五日，即中元節。參見【中元】Tiong-guân 條。,名
七月半鴨仔，毋知死活。,七月半鸭仔，毋知死活。,"Tshit-gue̍h-puànn ah-á, m̄ tsai sí-ua̍h. ",60035,,形容人沒有憂患意識，不知大難臨頭。,
七爺,七爷,Tshit-iâ,153,,神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。,名
七老八老,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,106,,七老八十。形容年紀很老。,形
丈,丈,tn̄g,169,一,計算長度的單位。臺制十尺等於一丈，公制十公尺等一公丈。,量
丈人,丈人,tiūnn-lâng,218,,岳父。稱謂。男子稱妻子的父親。,名
丈人公,丈人公,tiūnn-lâng-kong,227,,稱謂。男性稱呼妻子的爺爺或外公。,名
丈人媽,丈人妈,tiūnn-lâng-má,231,,稱謂。男性稱呼妻子的奶奶或外婆。,名
丈人爸,丈人爸,tiūnn-lâng-pâ,229,,岳父。稱謂，男性稱呼妻子的父親。,名
丈公,丈公,tiūnn-kong,245,,姑公、姨公。稱謂。稱呼姑婆或姨婆的先生。,名
丈姆,丈姆,tiūnn-ḿ,357,,丈母娘、岳母。稱謂。男子稱妻子的母親。,名
丈姆婆,丈姆婆,tiūnn-ḿ-pô,364,,丈母娘、岳母。見【丈姆】tiūnn-ḿ 條。,
三,三,sam,170,一,數字。,數
三,三,sann,171,一,數字。,數
三七仔,三七仔,sam-tshit-á,228,,皮條客。為男女雙方媒介色情，拉攏不正當關係的牽合者。因為與妓女三七分帳，才有此稱呼。,名
三不五時,三不五时,sam-put-gōo-sî,250,,不定時、頻率不固定的時間。,熟
三人共五目，日後無長短跤話。,三人共五目，日后无长短跤话。,"Sann lâng kāng gōo ba̍k, ji̍t-āu bô tn̂g-té-kha-uē. ",60059,,比喻共同決定的事，事後不得反悔。,
三代粒積，一代窮空。,三代粒积，一代穷空。,"Sann tāi lia̍p-tsik, tsi̍t tāi khîng-khong. ",60062,,比喻創業艱辛，守成要謹慎。,
三八,三八,sam-pat,219,,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,形
三八氣,三八气,sam-pat-khuì,230,,傻氣。見【三八】sam-pat 條。,
三分人，七分妝。,三分人，七分妆。,"Sann hun lâng, tshit hun tsng. ",60060,,比喻人要衣裝，佛要金裝。,
三太子,三太子,Sam-thài-tsú,272,,即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。,名
三層,三层,sam-tsân,516,,五花肉。見【三層肉】sam-tsân-ba̍h 條。,
三層肉,三层肉,sam-tsân-bah,519,,五花肉。指肥瘦夾雜的豬肉。,名
三山國王,三山国王,Sam-san-kok-ông,242,,廣東省潮州的明山、獨山及中山三座山的山神總稱。後來人民遷徙臺灣，在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。,名
三年一閏，好歹照輪。,三年一闰，好歹照轮。,"Sann nî tsi̍t jūn, hó-pháinn tsiàu lûn. ",60063,,指風水輪流轉。,
三心兩意,三心两意,sam-sim-lióng-ì,274,,形容猶豫不決，意志不堅。,熟
三思,三思,sàm-su,389,,謹慎、仔細的考慮。,動
三教,三教,sam-kàu,438,,佛、儒、道三教的合稱。,名
三文魚,三文鱼,sam-bûn-hî/sam-bûn-hû,277,,指鮭魚。過去常用來製成罐頭。源自英語salmon。,名
三日無餾，𬦰上樹。,三日无馏，𬦰上树。,"Sann ji̍t bô liū, peh-tsiūnn tshiū. ",60061,,比喻幾天不複習就會忘記所學。,
三更,三更,sann-kenn/sann-kinn,330,,子時、中夜。指夜間十一時至隔天凌晨一時。 ,時
三更半暝,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,331,,三更半夜。,時
三牲,三牲,sam-sing,398,,本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。,名
三界公,三界公,Sam-kài-kong,399,,三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。,名
三界娘仔,三界娘仔,sam-kài-niû-á,400,,將魚、食蚊魚。魚名。是臺灣瀕臨絕種魚類之一，類似大肚魚，大多生長在清水溝及稻田內，可以食用。,名
三百六十行，行行出狀元。,三百六十行，行行出状元。,"Sann-pah la̍k-tsa̍p hâng, hâng-hâng tshut tsiōng-guân. ",60064,,比喻不論從事何種行業，只要能夠努力不懈，都能夠有所成就。,
三絃,三弦,sam-hiân,442,,樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。,名
三線路,三线路,sam-suànn-lōo,526,,有茂密森林的大馬路，在西洋稱做林蔭大道，中間一條大道樹木兩旁各一條小道，成為三線道路，如臺北的愛國西路、中山北路等。,名
三肢手,三肢手,sann-ki-tshiú,377,,扒手。見【剪綹仔】tsián-liú-á 條。,
三角,三角,sann-kak,335,,三角形。|三毛錢。,名|名
三角六肩,三角六肩,sann-kak-la̍k-king,13918,,走路的時候聳動肩膀，使高低變化而大搖大擺，好像很跩的姿態。,名
三角窗,三角窗,sann-kak-thang,342,,位於路口轉角處的房子。,名
三角褲,三角裤,sann-kak-khòo,343,,一種三角樣式的貼身內褲。,名
三講，四毋著。,三讲，四毋着。,"Sann kóng, sì m̄-tio̍h. ",60066,,比喻滿口胡言，每講必錯。,
三跤步一坎店。,三跤步一坎店。,Sann kha-pōo tsi̍t khám tiàm. ,60065,,形容市景繁榮，商店林立。,
三跤貓,三跤猫,sann-kha-niau,495,,三腳貓。形容技藝不精、不中用的人。,形
三跤馬,三跤马,sann-kha-bé,494,,三腳架、三角架。用來安放、架設照相機及測量儀器的器具。有三個支柱的架子。,名
三輪車,三轮车,sann-lián-tshia,534,,車子的一種，前為一輪，後為兩輪的車子，可用來作交通工具，或是小孩的遊戲車。,名
三長兩短,三长两短,sann-tn̂g-nn̄g-té,380,,指意外不測、變故，多指死亡。,形
三除四扣,三除四扣,sann-tû-sì-khàu,434,,東扣西扣。指扣除的項目很多。 ,熟
三頓,三顿,sann tǹg,500,,三餐。,名
上,上,tsiūnn,172,一,登上、爬上。|把東西端上去。,動|動
上,上,tshiūnn,173,一,向上提吊。|慢慢長出來。,動|動
上,上,siōng,174,一,指空間位置「下」的相反。|極致地、最……地。,位|副
上久,上久,siōng-kú,232,,最久。,副
上任,上任,tsiūnn-jīm/tsiūnn-līm,306,,就職。擔任職務。,動
上元,上元,Siōng-guân,246,,元宵節。見【元宵】Guân-siau 條。,
上元暝,上元暝,Siōng-guân-mê/Siōng-guân-mî,254,,元宵節。見【元宵】Guân-siau 條。,
上加,上加,siōng-ke,287,,最多、頂多。,副
上北,上北,tsiūnn-pak,288,,北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。,動
上午,上午,siōng-ngóo,255,,中午之前。,時
上卌袂攝,上卌袂摄,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,293,,卌為四十的意思，上卌表示人到中年的意思。這句話表示人到中年萬事休，生理機能走下坡，心理也逐漸失去青年時期意氣風發的理想。,熟
上天,上天,siōng-thian,256,,上蒼。對具有無窮力量的天或是天上神明的總稱。,名
上好,上好,siōng hó,314,,最好、最佳的表現。|最好。表示一種期待與希望，有時帶有警示的意味。,形|副
上尺工,上尺工,siāng-tshe-kong,273,,標示在工尺譜上的音階名。「上」表示首調唱名法中的Do，「尺」表示首調唱名法中的Re，「工」表示首調唱名法中的Mi。,名
上尾,上尾,siōng-bué/siōng-bé,13919,,最後。,形
上山,上山,tsiūnn-suann,233,,登山、爬山。,動
上山看山勢，入門看人意。,上山看山势，入门看人意。,"Tsiūnn suann khuànn suann-sì, ji̍p-mn̂g khuànn lâng ì. ",60067,,指做人要懂得隨時注意環境變化，以及察言觀色。,
上山頭,上山头,tsiūnn-suann-thâu,244,,送葬到墓地，護送棺木到墓地。,動
上崎,上崎,tsiūnn-kiā,435,,上坡。,動
上市,上市,tsiūnn-tshī,295,,物品、股票等開始在市場上發售或買賣。,動
上帝,上帝,Siōng-tè,387,,傳說中創造萬物的神祇。,名
上帝公,上帝公,Siōng-tè-kong,388,,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。,名
上手,上手,tsiūnn-tshiú,257,,對技術或工作已掌握熟練，駕馭自如。|到手、得逞。,副|動
上教,上教,tsiūnn-kà,13920,,受教。,形
上桌,上桌,tsiūnn-toh,425,,指客人就席赴宴。 |指筵席中上菜的形式過程。,動|動
上殕,上殕,tshiūnn-phú,452,,發霉。,動
上水,上水,tshiūnn-tsuí,258,,從水井裡取水上來。|醫學用詞，表示水腫。,動|名
上濟,上济,siōng tsē/siōng tsuē,551,,最多。指數量上的多寡。|至多、頂多。指在最壞的情況下。,副|副
上無,上无,siōng-bô,13921,,至少、起碼。,副
上目,上目,tsiūnn-ba̍k,299,,指得人青睞之意。 ,形
上等,上等,siōng-tíng,461,,最高等級或最優異的品等。,形
上緊,上紧,siōng kín,507,,最快。,副
上聲,上声,sióng-siann,552,,漢語的調類之一。在現代國音音系中為第三聲，注音符號用「ˇ」來表示。臺羅音標系統中，調號為「2」的字音就是上聲調。,名
上蓋,上盖,siōng-kài,510,,非常、最。,副
上訴,上诉,siōng-sòo,465,,原意是指向神明、官府、上級陳述。現在多指法律上不服下級法院的判決，轉而向上一級法院提出訴訟，請求改判。,動
上課,上课,siōng-khò,527,,授課、教課。老師教導學生。|上學、學習。學生到學校讀書或接受老師的教導。,動|動
上踏枋，上眠床，無洗跤睏中央。,上踏枋，上眠床，无洗跤困中央。,"Tsiūnn ta̍h-pang, tsiūnn bîn-tshn̂g, bô sé kha khùn tiong-ng. ",60068,,比喻得寸進尺，欺人太甚。,
上轎才欲放尿。,上轿才欲放尿。,Tsiūnn kiō tsiah beh pàng jiō. ,60069,,形容人做事未能瞻前顧後。,
上青苔,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,381,,長青苔。,動
上頭仔,上头仔,siōng-thâu-á,544,,最初、最前頭。,副
下,下,ē,175,一,指空間位置「上」的相反。|計算短暫動作的單位。,位|量
下,下,hā,176,一,結束一個時程的工作。|宣布、公布。|往底下走。|形容程序較為後面的，或是位階較為低等的。,動|動|動|形
下,下,hē,177,一,放置、加進去。|許願。,動|動
下元,下元,Hā-guân,247,,下元節。傳統民俗節日之一。農曆十月十五日為三官大帝的誕辰，通常在十月十四日晚間十一點開始祭拜，主要供品為甜湯圓、「麻粩」(muâ-láu)、「米粩」(bí-láu)。,名
下勻,下匀,ē-ûn,248,,後輩、晚輩。,名
下午,下午,hā-ngóo,259,,中午過後的時間，指中午十二點到黃昏前的一段時間。,時
下半暝,下半暝,ē-puànn-mê/ē-puànn-mî,294,,下半夜、後半夜。夜晚十二點以後到天亮的時間。,時
下司,下司,ē-si,289,,下屬、手下。,名
下山,下山,hā-san,234,,常用在戲曲的對白，指修行人要離開修行的地點。,動
下底,下底,ē-té/ē-tué,365,,下面、底下。與「頂面」(tíng-bīn)相對。,位
下性命,下性命,hē-sènn-miā/hē-sìnn-miā,369,,拚命。豁出性命，全力以赴。,副
下手,下手,hē-tshiú,260,,動手去做。,動
下手,下手,ē-tshiú,261,,作業流程中屬於下游層級的人。|手下。,名|名
下擺,下摆,ē-pái,556,,下次、下回。,副
下早仔,下早仔,e-tsái-á,318,,早上。|今早。今天早上。,時|時
