hsk,word,radicals,examples,strokeCount
1,视,礻见,电视 重视 忽视 轻视 视频 歧视 鄙视 注视 视野 藐视 视力 监视 视线 凝视 俯视 蔑视 敌视,8
1,零,雨令,零 零钱 零食 零件 零星,13
1,觉,⺍冖见,睡觉 觉得 感觉 自觉 发觉 觉醒 知觉 嗅觉 觉悟,9
1,了,乛亅,了 了解 为了 除了 极了 受不了 了不起 不得了 一目了然 大不了,2
1,二,一一,二 二氧化碳,2
1,在,才土,现在 在 正在 实在 存在 在乎 在于 在意 内在,6
1,五,二,五,4
1,些,此二,这些 些,8
1,生,一土,学生 医生 先生 生日 生病 生气 卫生间 生活 生命 发生 出生 生意 人生 产生 生产 生长 生动 陌生 花生 自力更生 维生素 生物 生存 诞生 生育 天生 生理 生态 生肖 生效 生机 生锈 生疏,5
1,坐,从土,坐 乘坐,7
1,电,曰乚,打电话 电影 电脑 电视 笔记本电脑 电子邮件 电梯 充电器 闪电 电台 电池 电源,5
1,块,土夬,块,7
1,影,景彡,电影 影响 摄影师 影子 合影 摄影,15
1,很,彳艮,很,9
1,校,木交,学校 校长,10
1,客,宀各,不客气 客人 顾客 客厅 客观 好客 客户,9
1,样,木羊,怎么样 一样 样子 样式 照样 榜样 模样 样品,10
1,家,宀豕,家 大家 国家 家具 作家 文学家 专家 家庭 家乡 家务 家喻户晓 人家 家属 家伙 儒家 家常,10
1,桌,卓木,桌子,10
1,去,土厶,去 去年 过去 失去 去世,5
1,京,亠口小,北京 京剧,8
1,亮,亠口冖几,漂亮 月亮 亮 响亮,9
1,想,相心,想 理想 思想 梦想 想念 幻想 想象 感想 想方设法 联想 着想 设想 空想 妄想,13
1,友,又,朋友 友谊 友好,4
1,人,,人 别人 客人 人民币 个人 人类 人生 人物 人才 主人 人员 人民 人事 私人 成人 人口 敌人 工人 行人 风土人情 当事人 人家 本人 人间 人士 人性 人工 人格 迷人 人为 夫人 法人 人道 丢人 人质,2
1,没,氵殳,没关系 没有 淹没 埋没,7
1,什,亻十,什么 为什么,4
1,对,又寸,对不起 对 反对 对话 对面 对于 面对 对方 绝对 针对 对比 对象 相对 对待 对手 对抗 对应 对付 对策 对联 对照 对立 对称,5
1,今,人,今天 今年 如今 至今 迄今为止,4
1,叫,口丩,叫,5
1,他,亻也,他 其他,5
1,们,亻门,我们 你们 咱们,5
1,面,,下面 后面 前面 外面 面条 面包 见面 方面 对面 面对 全面 表面 面积 面临 片面 面子 局面 书面 平面 面貌 体面 场面 当面 反面 侧面 迎面,9
1,候,亻矦,时候 气候 问候 等候 候选 伺候,10
1,苹,艹平,苹果,8
1,做,亻故,做 做主,11
1,小,亅八,小姐 小 小时 李小美 小丽 小刚 小明 小云 小心 小伙子 小说 小吃 胆小鬼 小麦 小气 小心翼翼 渺小,3
1,少,小丿,多少 少 减少 至少 缺少 青少年,4
1,吃,口乞,吃饭 吃 好吃 小吃 吃惊 吃亏 吃力 吃苦,6
1,同,凡口,同学 同意 同事 同时 共同 相同 同情 合同 胡同 同胞 连同 同志,6
1,名,夕口,名字 有名 报名 著名 名胜古迹 名片 名牌 莫名其妙 名副其实 命名 名誉 名额 名次,6
1,后,口,后面 后 以后 最后 然后 后来 后悔 后果 落后 后背 争先恐后 后顾之忧 空前绝后 后代 皇后 后勤,6
1,吗,口马,吗,6
1,听,口斤,听 打听 倾听 探听,7
1,会,人云,会 一会儿 机会 会议 误会 社会 聚会 约会 会计 体会 宴会 聚精会神 博览会 协会 省会 领会 会晤,6
1,爱,爫冖友,爱 可爱 爱好 爱情 恋爱 爱心 热爱 亲爱 爱护 疼爱 爱惜 爱不释手 爱戴,8
1,爸,父巴,爸爸,8
1,租,禾且,出租车 租 租赁,10
1,呢,口尼,呢,8
1,住,亻主,住 忍不住 居住 住宅,7
1,岁,山夕,岁 守岁 压岁钱 岁月,6
1,作,亻乍,工作 作业 作者 作用 动作 作家 作战 写作 合作 作为 作品 制作 作文 操作 创作 著作 作弊 作息 作风 作废,7
1,你,亻尔,你们 你,7
1,和,禾口,和 暖和 和平 共和国 温和 和谐 和睦 和蔼 和解 和气 柔和 调和 缓和 祥和 饱和 总和 附和,8
1,茶,艹人木,茶,9
1,椅,木奇,椅子,12
1,的,白勺,的 目的 的确 似的,8
1,车,七十,出租车 车 公共汽车 火车站 自行车 堵车 救护车 摩托车 列车 卡车 车库 车厢 刹车,4
1,站,立占,火车站 站 加油站 网站,10
1,那,阝,那儿 那 刹那,6
1,钟,钅中,分钟 闹钟 钟,9
1,哪,口那,哪儿 哪 哪怕,9
1,狗,犭句,狗,8
1,认,讠人,认识 认为 认真 确认 承认 否认 认可 认定 公认 辨认,4
1,识,讠只,认识 知识 常识 见多识广 意识 识别,7
1,话,讠舌,打电话 说话 普通话 对话 笑话 话题 神话 实话 废话 不像话 童话 话筒 俗话 闲话,8
1,日,口一,生日 日 节日 日记 日用品 日子 日常 日期 日历 日程 与日俱增 日新月异 日益 昔日,4
1,都,者阝,都 首都,10
1,语,讠吾,汉语 语言 语法 词语 成语 语气 母语 谜语,9
1,时,日寸,时候 时间 小时 同时 及时 平时 暂时 按时 准时 当时 随时 时尚 时代 时刻 时期 临时 时髦 时差 不时 时光 时事 时常 顿时 时机 时而,7
1,菜,艹采,菜 菜单 蔬菜,11
1,说,讠兑,说 说话 小说 说明 说不定 传说 据说 说服 胡说 学说,9
1,请,讠青,请 请假 申请 邀请 请求 请教 请柬 请示 请帖,10
1,读,讠卖,读 阅读 朗读,10
1,儿,丿乚,一点儿 儿子 女儿 哪儿 这儿 那儿 玩儿 一会儿 聊天儿 六一儿童节 儿童 空儿 幼儿园 使劲儿 干活儿 纽扣儿 玩意儿 大伙儿 心眼儿 纳闷儿 墨水儿 婴儿 馅儿,2
1,先,土儿,先生 先 首先 事先 争先恐后 优先 祖先 领先 先进 预先 先前 原先,6
1,钱,钅戋,钱 零钱 压岁钱 本钱,10
1,我,扌戈,我们 我,7
1,八,,八,2
1,六,亠八,六 六一儿童节,4
1,老,耂匕,老师 老 老虎 老百姓 老鼠 老板 老婆 老实 衰老,6
1,关,丷天,没关系 关于 关系 关心 关 关键 关闭 相关 海关 公关 关怀 把关 关照,6
1,兴,⺍一八,高兴 感兴趣 兴奋 兴高采烈 兴致勃勃 兴旺 复兴 振兴 兴隆,6
1,这,辶文,这些 这儿 这,7
1,再,一冉,再见 再 一再 再三 再接再厉,6
1,写,冖与,写 写作 描写,5
1,打,扌丁,打电话 打篮球 打算 打扫 打招呼 打折 打印 打扮 打针 打扰 打交道 打喷嚏 打工 打听 精打细算 无精打采 打官司 打击 打猎 打包 打架 殴打 打仗 打量,5
1,商,亠丷冏,商店 商量 商品 商业 商务 经商 商标 智商 协商 磋商,11
1,猫,犭苗,猫 熊猫,11
1,谁,讠隹,谁,10
1,明,日月,明天 周明 小明 明白 聪明 说明 证明 明星 表明 明显 明确 光明 透明 文明 发明 鲜明 明明 声明 明智 分明 高明 黎明 开明 英明,8
1,星,日生,星期 明星 卫星 零星,9
1,昨,日乍,昨天,9
1,飞,,飞机 起飞 飞禽走兽 飞翔 飞跃,3
1,谢,讠射,谢朋 谢谢 感谢 新陈代谢 谢绝,12
1,是,日疋,是 虽然……但是…… 但是 还是 总是 可是 是否 要是 于是 实事求是 是非 凡是,9
1,喂,口畏,喂,12
1,多,夕夕,多少 多 多么 差不多 许多 多余 多亏 见多识广 多元化,6
1,喜,壴口,喜欢 恭喜 喜闻乐见 喜悦,12
1,喝,口曷,喝,12
1,大,一人,大学 大卫 大 大家 大使馆 大约 大概 大夫 大厦 伟大 重大 大型 广大 大方 扩大 大象 巨大 博大精深 恍然大悟 大不了 大伙儿 庞大 大脑 大致 放大 大臣 大体 大意 大肆,3
1,天,一大,今天 天气 昨天 明天 聊天儿 春天 夏天 冬天 秋天 礼拜天 天空 天真 得天独厚 翻天覆地 天伦之乐 天然气 天生 天才 天文 航天 天堂 天赋 成天,4
1,冷,冫令,冷 冷静 冷淡 冷却 冷落 冷酷,7
1,看,手目,看见 看 看法 看不起 看望 看待,9
1,太,大丶,太 太阳 太极拳 太太 太空,4
1,几,丿乙,几 几乎,2
1,出,屮凵,出租车 出院 出 出现 出生 出发 演出 出差 出版 出自 突出 出席 出口 出色 出示 层出不穷 出卖 出身 出路 杰出 支出 出息 出神,5
1,女,,女儿 女 妇女 女士,3
1,她,女也,她,6
1,好,女子,好 好吃 爱好 最好 好像 好处 正好 友好 只好 良好 好奇 好客 恰到好处 讨好,6
1,睡,目垂,睡觉,13
1,妈,女马,妈妈,6
1,工,一丄,工作 工资 工程师 工具 员工 工业 打工 工人 工厂 手工 工艺品 加工 人工 罢工,3
1,现,王见,现在 发现 出现 现金 实现 现代 表现 现实 现象 体现 现场 展现 呈现 现状 兑现 现成 涌现,8
1,衣,亠,衣服 衣裳,6
1,能,厶⺼匕匕,能 可能 能力 功能 能源 能干 无能为力 力所能及 难能可贵 智能 性能 能量 本能 职能,10
1,里,田土,里 公里 里程碑,7
1,分,八刀,分钟 分 百分之 部分 十分 分析 充分 成分 分手 分别 过分 分配 分布 分歧 区分 划分 分散 分解 分泌 分量 分裂 分明 分辨 万分 分红 分寸 处分,4
1,饭,饣反,吃饭 米饭 饭店,7
1,馆,饣官,宾馆 图书馆 大使馆 博物馆 领事馆,11
1,姐,女且,小姐 姐姐,8
1,前,丷一刖,前面 前 以前 提前 目前 从前 前途 空前绝后 当前 前景 前提 先前 跟前,9
1,欢,又欠,喜欢 欢迎 欢乐 联欢,6
1,师,刂帀,老师 律师 师傅 工程师 摄影师 师范,6
1,脑,⺼亠凶,电脑 笔记本电脑 脑袋 伤脑筋 大脑,10
1,火,丷人,火车站 火 着火 火柴 涮火锅 火焰 火箭 火药 恼火,4
1,漂,氵票,漂亮 漂浮,14
1,月,冂二,月 月亮 日新月异 岁月 正月,4
1,有,月,没有 有 有意思 只有……才…… 有名 所有 有趣 有利 津津有味 岂有此理 有条不紊 拥有 固有,6
1,朋,月月,谢朋 朋友,8
1,服,月卩又,衣服 服务员 舒服 服装 克服 说服 佩服 羽绒服 服从 征服 制服 服气 屈服,8
1,年,干,今年 年 去年 新年 年轻 年级 年龄 青少年 年纪 年代 年度 周年 连年 逐年 拜年,6
1,期,其月,星期 学期 期间 时期 日期 期待 过期 周期 期望 定期 期限 为期 预期 延期,12
1,本,木一,本 笔记本电脑 笔记本 本来 基本 根本 本领 本科 本质 版本 本身 成本 本人 资本 本能 本事 剧本 标本 本钱,5
1,米,丷木,米饭 米 厘米 玉米 毫米,6
1,店,广占,商店 饭店,8
1,机,木几,飞机 手机 机场 照相机 机会 司机 登机牌 机器 收音机 机构 危机 机动 机密 机智 时机 动机 生机 机遇 投机 机灵 机械,6
1,来,未丷,回来 来 起来 后来 来不及 来得及 来自 将来 原来 本来 从来 未来 以来 礼尚往来 苦尽甘来 来源 向来 来历 历来 近来,7
1,杯,木不,杯子 干杯,8
1,点,占灬,一点儿 点 地点 特点 重点 优点 缺点 观点 点心 标点 焦点 要点 终点 弱点 点缀,9
2,阴,阝月,阴 阴谋,6
2,每,母,每,7
2,比,匕匕,比 比较 比赛 比如 对比 比例 比喻 无比 比方 比重,4
2,自,目,自行车 自己 来自 自然 自信 自动 自由 亲自 各自 自私 自从 自觉 出自 自愿 自豪 自杀 自力更生 自主 自卑 自发 擅自 自满 私自,6
2,因,囗大,因为……所以…… 因为 因此 原因 因素 因而 基因,6
2,瓜,厶,西瓜,5
2,要,覀女,要 需要 重要 主要 要求 只要 要是 不要紧 要不 必要 次要 要命 摘要 要点 要素 首要 简要 纪要,9
2,足,口,踢足球 不足 满足 微不足道 举足轻重 知足常乐 画蛇添足 充足 十足 足以 立足,7
2,思,田心,有意思 意思 思想 思考 不可思议 思维 沉思 思念 思索 反思 构思,9
2,跑,足包,跑步,12
2,丈,一又,丈夫,3
2,路,足各,路口 路 高速公路 迷路 出路,13
2,跳,足兆,跳舞 跳跃,13
2,两,一冂从,两 一举两得,7
2,息,自心,休息 信息 消息 利息 川流不息 作息 出息,10
2,千,丿十,千 千万 千方百计,3
2,孩,子亥,孩子,9
2,为,丶力丶,因为……所以…… 为什么 因为 为了 认为 为 成为 以为 作为 行为 无能为力 迄今为止 见义勇为 人为 为期 为难,4
2,黑,灬,黑 黑板 乌黑,12
2,卖,十买,卖 出卖 贩卖,8
2,乐,丿小,快乐 音乐 俱乐部 娱乐 乐观 乐器 知足常乐 喜闻乐见 天伦之乐 乐意 欢乐 乐趣 乐谱,5
2,它,宀匕,它,5
2,完,宀元,完 完成 完全 完美 完整 完善 完毕 完备,7
2,也,乚,也 也许,3
2,弟,丷弓,弟弟 兄弟 徒弟,7
2,宜,宀且,便宜 适宜,8
2,雪,雨彐,雪 雪上加霜,11
2,张,弓长,张 紧张 主张 夸张 慌张 东张西望 扩张,7
2,舞,無舛,跳舞 鼓舞 舞蹈,14
2,事,一口彐亅,事情 故事 同事 军事 事实 人事 事物 从事 事先 实事求是 董事长 当事人 领事馆 事项 事件 事业 时事 往事 事故 事务 事迹 本事 刑事 启事 事态 失事,8
2,船,舟几口,船 船舶 轮船,11
2,累,田糸,累 积累,11
2,汽,氵气,公共汽车 汽油,7
2,场,土勿,机场 场 市场 广场 操场 现场 场合 立场 场所 当场 场面,6
2,男,田力,男,7
2,色,⺈巴,颜色 红色 景色 特色 色彩 出色 角色 棕色 粉色 眼色 气色,6
2,您,你心,您,11
2,踢,足易,踢足球,15
2,得,彳旦寸,觉得 得 记得 不得不 来得及 获得 值得 得意 舍不得 不得了 不见得 怪不得 显得 得天独厚 得不偿失 一举两得 不得已 恨不得 巴不得 不由得 心得 免得 得罪 难得 得力,11
2,室,宀至,教室 办公室 卧室,9
2,情,忄青,事情 热情 情况 心情 爱情 感情 同情 情绪 情景 表情 风土人情 心甘情愿 深情厚谊 激情 情节 情形 情理 情报 盛情,11
2,介,人,介绍 中介 媒介,4
2,从,人人,从 从来 从而 从事 从前 从此 自从 服从 从容,4
2,可,丁口,可以 可能 马可 可爱 可是 可惜 可怜 可靠 可见 可怕 宁可 不可思议 难能可贵 认可 许可 可行 可观 可口 可恶,5
2,右,口,右边 左右 座右铭,5
2,号,口丂,号 号码 信号 挂号 符号 称号 号召,5
2,司,口,公司 司机 打官司 司法 司令,5
2,以,人,因为……所以…… 可以 所以 以后 以前 以为 以 以及 以来 全力以赴 以往 以便 以致 以免 足以 以至,4
2,件,亻牛,件 电子邮件 条件 文件 插件 硬件 证件 零件 事件 附件 案件 稿件,6
2,票,覀示,票 股票 发票 支票 投票 彩票 钞票,11
2,非,,非常 除非 非 是非 非法 并非 无非,8
2,泳,氵永,游泳,8
2,忙,忄亡,忙 帮忙 匆忙 急忙 连忙 忙碌 繁忙,6
2,快,忄夬,快乐 快 愉快 凉快 尽快 赶快 痛快 爽快 快活,7
2,病,疒丙,生病 病毒 毛病 疾病 弊病 病,10
2,意,音心,有意思 意思 注意 愿意 同意 满意 意见 故意 生意 主意 得意 意义 意外 称心如意 意味着 玩意儿 意识 乐意 任意 意图 在意 随意 意志 大意 特意 意料 意向 示意,13
2,身,,身体 健身 身份 身材 随身 本身 出身 终身 浑身 动身,7
2,向,口,向 方向 欣欣向荣 倾向 向往 向来 一向 外向 导向 意向 向导,6
2,蛋,疋虫,鸡蛋 蛋糕 蛋白质,11
2,就,京尤,就 成就 就业 就职 迁就 将就 就近 就餐,12
2,吧,口巴,吧 酒吧,7
2,休,亻木,休息 休闲 退休,6
2,慢,忄曼,慢 慢性 怠慢,14
2,离,亠凶禸,离 离开 距离 离婚 脱离 隔离,10
2,送,辶关,送 赠送,9
2,告,牛口,告诉 广告 报告 告别 转告 公告 警告 告诫 被告 原告 布告 告辞,7
2,洗,氵先,洗 洗手间 洗澡,9
2,员,口贝,服务员 售货员 演员 员工 人员 成员 委员 裁员 动员,7
2,但,亻旦,虽然……但是…… 但是 不但……而且……,7
2,体,亻本,身体 体育 体验 具体 媒体 整体 体现 体会 集体 体贴 繁体字 简体字 体系 尸体 团体 体积 个体 液体 体谅 固体 立体 体面 大体 体裁 解体,7
2,牛,,牛奶 牛仔裤 吹牛,4
2,穿,穴牙,穿 穿越,9
2,道,辶首,知道 街道 道歉 难道 味道 打交道 频道 报道 道理 道德 地道 微不足道 任重道远 东道主 渠道 轨道 霸道 公道 人道 隧道 赤道,12
2,咖,口加,咖啡,8
2,教,孝攵,教室 教 教育 教授 教训 教材 教练 宗教 教养 请教,11
2,药,艹约,药 火药,9
2,懂,忄董,懂,15
2,白,日,白 明白 蛋白质 空白 坦白 苍白,5
2,百,一白,百 百分之 老百姓 千方百计,6
2,鱼,⺈田一,鱼,8
2,便,亻更,便宜 方便 随便 顺便 便 以便 即便 便于 便利 便条,9
2,哥,可可,哥哥,10
2,斤,厂下,公斤,4
2,让,讠上,让 让步 转让,5
2,新,亲斤,新年 新 新闻 新鲜 重新 新陈代谢 日新月异 更新 创新 新娘 新颖 新郎 崭新,13
2,旁,立方,旁边,10
2,旅,方氏,旅游 旅行,10
2,诉,讠斥,告诉 投诉 诉讼,7
2,红,纟工,红色 红 西红柿 分红,6
2,试,讠式,考试 试 试卷 尝试 试图 试验,8
2,早,日十,早上 迟早 及早,6
2,纸,纟氏,报纸 纸袋,7
2,绍,纟召,介绍,8
2,课,讠果,课 课程 课题 旷课,10
2,经,纟工,已经 经常 经过 经理 经验 经历 经济 经典 经营 曾经 经商 饱经沧桑 神经 经费 经纬 正经,8
2,给,纟合,给 供给 给予,9
2,题,是页,问题 题 主题 话题 题目 专题 标题 题材 课题,15
2,颜,彦页,颜色,15
2,元,二儿,元 公元 单元 元旦 多元化 元宵节 元素 元首,4
2,边,辶力,旁边 右边 左边 一边 周边 边境 边缘 边界 边疆,5
2,公,八厶,公共汽车 公司 办公室 公园 公斤 高速公路 公里 公开 公元 公布 公主 公平 外公 公寓 公安局 公告 公民 公正 公关 公式 公认 公道 公然 公务 公证,4
2,考,耂丂,考试 考虑 参考 思考 考验 考察 考古 考核,6
2,共,廾一八,公共汽车 一共 共同 总共 共和国 共计 共鸣,6
2,过,辶寸,经过 难过 过去 过 通过 不过 过程 超过 过敏 过分 度过 过期 过度 过于 过滤 过渡 过瘾 过问 过失 过奖,6
2,迎,辶卬,欢迎 迎接 迎面,7
2,运,辶云,运动 运用 运输 命运 幸运 运气 运行 运算 托运,7
2,近,辶斤,近 最近 附近 接近 近代 急功近利 将近 就近 近来,7
2,还,辶不,还 还是 讨价还价 还原 偿还 归还,7
2,房,户方,房间 厨房 房东,8
2,进,辶井,进 进行 促进 进步 改进 进口 循序渐进 先进 进化 进展 上进 进而 进攻,7
2,远,辶元,远 永远 任重道远 遥远 疏远,7
2,所,户斤,因为……所以…… 所以 所有 厕所 无所谓 所谓 所 众所周知 理所当然 力所能及 场所,8
2,笑,⺮夭,杨笑笑 笑 开玩笑 笑话 微笑 嘲笑 讥笑,10
2,手,,手机 手表 手 洗手间 分手 手术 手工 对手 手指 手续 随手 手套 握手 爱不释手 不择手段 助手 着手 选手 手法 动手 手艺 手势 拿手 凶手 把手,4
2,第,⺮弟,第一,11
2,唱,口昌,唱歌,11
2,找,扌戈,找 寻找,7
2,等,⺮寺,等 等待 等于 平等 等级 等候 相等,12
2,答,⺮合,回答 答案 答应 答复 答辩 报答,12
2,啡,口非,咖啡,10
2,游,氵斿,旅游 游泳 游戏 导游 游览 上游,12
2,肉,冂仌,羊肉 肌肉,6
2,备,夂田,准备 设备 具备 责备 备忘录 装备 配备 备份 储备 完备 筹备 戒备,8
2,外,夕卜,外面 外 另外 此外 意外 外公 格外 外交 外表 额外 外界 例外 外向 外行,5
2,夫,一大,丈夫 大夫 功夫 夫妇 夫人,4
2,晚,日免,晚上 傍晚,11
2,准,冫隹,准备 标准 准确 准时 批准 准则 瞄准,10
2,真,直几,真 认真 真正 传真 真实 天真 真理 真相 真挚 清真,10
2,晴,日青,晴 晴朗,12
2,错,钅昔,不错 错 错误,13
2,眼,目艮,眼睛 眼镜 眼睁睁 心眼儿 眼神 眼光 耀眼 眼色,11
2,着,羊目,着 着急 随着 接着 着火 着凉 意味着 执着 着手 着重 着想 沉着 着迷,11
2,报,扌卩又,报纸 报名 报道 报告 报到 预报 报社 报酬 回报 报警 汇报 报复 情报 报销 申报 报仇 报答,7
2,奶,女乃,牛奶 奶奶,5
2,睛,目青,眼睛,13
2,羊,丷,羊肉,6
2,玩,王元,玩儿 玩 开玩笑 玩具 玩意儿 玩弄,8
2,行,彳亍,自行车 行李箱 银行 进行 旅行 流行 举行 行 行业 行为 行动 不行 行人 执行 发行 运行 履行 实行 平行 行政 品行 可行 航行 行列 盛行 外行 逆行,6
2,长,一,长 校长 长城 长江 成长 生长 延长 长途 长辈 拔苗助长 董事长 擅长 专长 漫长 特长,4
2,左,工,左边 左右,5
2,已,,已经 不得已 而已,3
2,表,毛衣,手表 表示 表演 表扬 表格 发表 表达 表现 表明 代表 表情 表面 外表 表态 表决 表彰,8
2,篮,⺮监,打篮球 投篮,16
2,班,王刂王,上班 班 加班 航班 值班,10
2,妹,女未,妹妹,8
2,妻,十彐女,妻子,8
2,始,女台,开始 始终 原始,8
2,别,另刂,别 别人 特别 区别 性别 分别 个别 告别 识别 鉴别 级别 差别 别墅 别扭 别致 派别,7
2,姓,女生,姓 老百姓,8
2,到,至刂,到 遇到 迟到 到底 受到 到处 达到 到达 周到 报到 恰到好处 归根到底,8
2,次,冫欠,次 其次 次要 层次 档次 屡次 次序 名次 次品,6
2,知,矢口,知道 知识 通知 众所周知 知足常乐 须知 知觉 无知 知音,8
2,希,乂布,希望,7
2,门,丶丨,门 专门 部门 热门 窍门,3
2,歌,哥欠,唱歌 歌颂,14
2,问,门口,问题 问 提问 疑问 学问 询问 问候 访问 顾问 反问 问世 过问 慰问,6
2,间,门日,时间 房间 洗手间 中间 卫生间 空间 期间 人间 瞬间 民间 间接 间谍 间隔,7
2,帮,邦巾,帮助 帮 帮忙,9
2,正,一止,正在 正确 真正 正式 正常 正好 反正 改正 正 正义 纠正 公正 正规 正当 正宗 端正 正月 正经 正气 更正 正负,5
2,步,止,跑步 散步 进步 步骤 逐步 退步 让步 步伐 地步 初步,7
2,常,尚巾,非常 经常 正常 常识 通常 日常 平常 照常 知足常乐 异常 时常 家常 往常 反常,11
2,球,王求,打篮球 踢足球 羽毛球 乒乓球 地球 网球 球迷,11
2,最,日取,最 最后 最近 最好 最初,12
2,望,亡月王,希望 失望 愿望 盼望 看望 东张西望 欲望 渴望 期望 威望 指望 展望 探望 绝望,11
2,床,广木,起床 临床 床单,7
2,贵,中一贝,贵 宝贵 难能可贵 珍贵 贵族 昂贵,9
2,务,夂力,服务员 任务 商务 业务 义务 家务 医务 当务之急 国务院 财务 职务 事务 务必 公务,5
2,动,云力,运动 动物 活动 动作 感动 激动 动画片 移动 自动 行动 主动 生动 劳动 振动 无动于衷 动力 动手 机动 冲动 动荡 调动 被动 举动 动机 动静 轰动 动脉 动身 惊动 鼓动 动态 发动 动员,6
2,助,且力,帮助 拔苗助长 助手 助理 协助 赞助 借助 资助 辅助,7
2,鸡,又鸟,鸡蛋,7
2,走,土止,走 飞禽走兽 走廊 走私 走漏,7
3,板,木反,黑板 老板,8
3,炼,火柬,锻炼 提炼,9
3,极,木及,极了 极 积极 太极拳 极其 消极 北极 极限 极端,7
3,超,走召,超市 超过 超级 超越 高超,12
3,段,殳,段 阶段 不择手段,9
3,越,走戉,越 穿越 超越 卓越 优越,12
