Art,艺术,Kuns,فن,Art,Kunst,Τέχνη,Taide,Art,Ealaín,कला,Umjetnost,Művészet,Seni,Arte,芸術,예술,Kunst,Kunst,Sztuka,Arte,Artă,Искусство,Arte,Umetnost,Sanaa,Konst,ศิลป์,Sanat,Thuật,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthurian Legends,亚瑟王传奇,Arthur-legendes,أساطير آرثر,Llegendes artúriques,Artus-Legenden,Θρύλοι του Αρθούρου,Arthurin legendat,Légendes arthuriennes,Finscéalta Arthurian,आर्थरियन महापुरूष,Arthurske legende,Artúri legendák,Legenda Arthurian,Leggende arturiane,アーサー王伝説,아서왕 전설,Arthur-legendes,Legender om kong Arthur,Legendy arturiańskie,Lendas Arturianas,Legendele arthuriene,Легенды о короле Артуре,Leyendas artúricas,Arturijske legende,Hadithi ya Arthurian,Arthurs legender,ตํานานอาเธอร์,Arthur Efsaneleri,Truyền thuyết Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atheism,无神论,Ateïsme,إلحاد,Ateisme,Atheismus,Αθεϊσμός,Ateismi,Athéisme,Aindiachas,निरीश्‍वरवाद,Ateizam,Ateizmus,Ateisme,Ateismo,無神論,무신론,Atheïsme,Ateisme,Ateizm,Ateísmo,Ateism,Атеизм,Ateísmo,Ateizam,Ukanaji Mungu,Ateism,อเทวนิยม,Ateizm,Thuyết vô thần,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banned Books from Anne Haight's list,安妮·海特禁书列表,Verbode boeke uit Anne Haight se lys,الكتب المحظورة من قائمة آن هايت,Llibres prohibits de la llista d'Anne Haight,Verbotene Bücher von Anne Haights Liste,Απαγορευμένα βιβλία από τη λίστα της Anne Haight,Kielletyt kirjat Anne Haightin listalta,Livres interdits de la liste d’Anne Haight,Leabhair toirmiscthe ó liosta Anne Haight,ऐनी हाईट की सूची से प्रतिबंधित पुस्तकें,Zabranjene knjige s popisa Anne Haight,Kitiltott könyvek Anne Haight listájáról,Buku Terlarang dari daftar Anne Haight,Libri banditi dalla lista di Anne Haight,Anne Haight's listの禁止図書,Anne Haight의 목록에서 금지 된 책,Verbannen boeken van de lijst van Anne Haight,Forbudte bøker fra Anne Haights liste,Zakazane książki z listy Anne Haight,Livros banidos da lista de Anne Haight,Cărți interzise de pe lista Annei Haight,Запрещенные книги из списка Энн Хейт,Libros prohibidos de la lista de Anne Haight,Zabranjene knjige sa liste En Hejt,Vitabu vilivyopigwa marufuku kutoka kwenye orodha ya Anne Haight,Förbjudna böcker från Anne Haights lista,หนังสือต้องห้ามจากรายการของ Anne Haight,Anne Haight'ın Listesinden Yasaklı Kitaplar,Sách bị cấm trong danh sách của Anne Haight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banned Books List from the American Library Association,美国图书馆协会禁书列表,Lys van verbode boeke van die American Library Association,قائمة الكتب المحظورة من جمعية المكتبات الأمريكية,Llista de llibres prohibits de l'American Library Association,Liste verbotener Bücher der American Library Association,Κατάλογος απαγορευμένων βιβλίων από την Αμερικανική Ένωση Βιβλιοθηκών,American Library Associationin kiellettyjen kirjojen luettelo,Liste des livres interdits de l’American Library Association,Liosta Leabhar Toirmiscthe ón American Library Association,अमेरिकन लाइब्रेरी एसोसिएशन से प्रतिबंधित पुस्तकों की सूची,Popis zabranjenih knjiga Američkog udruženja knjižnica,Az Amerikai Könyvtárszövetség tiltott könyveinek listája,Daftar Buku Terlarang dari American Library Association,Elenco dei libri vietati dall'American Library Association,アメリカ図書館協会の禁止図書リスト,미국 도서관 협회(American Library Association)의 금지 도서 목록,Lijst met verboden boeken van de American Library Association,Liste over forbudte bøker fra American Library Association,Lista zakazanych książek od Amerykańskiego Stowarzyszenia Bibliotek,Lista de livros proibidos da Associação Americana de Bibliotecas,Lista cărților interzise de la Asociația Bibliotecilor Americane,Список запрещенных книг Американской библиотечной ассоциации,Lista de libros prohibidos de la Asociación Americana de Bibliotecas,Lista zabranjenih knjiga iz Udruženja američkih biblioteka,Orodha ya Vitabu vilivyopigwa marufuku kutoka Jumuiya ya Maktaba ya Amerika,Lista över förbjudna böcker från American Library Association,รายชื่อหนังสือต้องห้ามจากสมาคมห้องสมุดอเมริกัน,Amerikan Kütüphane Derneği'nden Yasaklı Kitaplar Listesi,Danh sách sách bị cấm từ Hiệp hội Thư viện Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Books Ever Listings,有史以来最佳图书排行,Beste boeke ooit lyste,أفضل قوائم الكتب على الإطلاق,Els millors llibres de la història de la llista,Die besten Bücher aller Zeiten,Καλύτερες καταχωρήσεις βιβλίων ποτέ,Kaikkien aikojen parhaat kirjaluettelot,Liste des meilleurs livres de tous les temps,Na Leabhair is Fearr Riamh Liostaí,सर्वश्रेष्ठ पुस्तकें कभी लिस्टिंग,Najbolji popisi knjiga ikad,A valaha volt legjobb könyvek listája,Daftar Buku Terbaik yang Pernah Ada,I migliori libri di sempre,史上最高の書籍リスト,최고의 책 목록,Beste Boeken Ooit Listings,Beste bøker noensinne oppføringer,Najlepsze oferty książek w historii,Melhores Livros de Todos os Tempos,Cele mai bune listări de cărți vreodată,Списки лучших книг всех времен,Listados de los mejores libros de todos los tiempos,Najbolji rasporedi knjiga ikada,Vitabu Bora Zaidi Orodha ya Vitabu,Listor över de bästa böckerna någonsin,รายชื่อหนังสือที่ดีที่สุดเท่าที่เคยมีมา,Şimdiye Kadarki En İyi Kitaplar Listeleri,Sách hay nhất từ trước đến nay Danh sách,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bestsellers, American, 1895-1923",美国畅销书，1895-1923,"Topverkopers, Amerikaans, 1895-1923",الكتب الأكثر مبيعا، أمريكية، 1895-1923,"Best-sellers, americà, 1895-1923","Bestseller, amerikanisch, 1895-1923","Μπεστ σέλερ, Αμερικανός, 1895-1923","Bestsellerit, amerikkalainen, 1895-1923","Best-sellers, américains, 1895-1923","Bestsellers, Meiriceánach, 1895-1923","बेस्टसेलर, अमेरिकन, 1895-1923","Bestseleri, američki, 1895-1923","Bestsellerek, amerikai, 1895-1923","Buku terlaris, Amerika, 1895-1923","Bestseller, Americano, 1895-1923",ベストセラー、アメリカ、1895-1923,"베스트셀러, 미국, 1895-1923","Bestsellers, Amerikaans, 1895-1923","Bestselgere, amerikansk, 1895-1923","Bestsellery, amerykańskie, 1895-1923","Mais vendidos, Americano, 1895-1923","Bestselleruri, american, 1895-1923","Бестселлеры, американские, 1895-1923 гг.","Bestsellers, americanos, 1895-1923","Bestseleri, Amerikanac, 1895-1923","Wafanyabiashara wa Marekani, 1895-1923","Bästsäljare, amerikanska, 1895-1923","สินค้าขายดี, อเมริกัน, 1895-1923","En çok satanlar, Amerikan, 1895-1923","Bán chạy nhất, Mỹ, 1895-1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliomania,藏书癖,Bibliomania,هوس الكتب,Bibliomania,Bibliomanie,Βιβλιομανία,Bibliomania,Bibliomanie,Bibliomania,बिब्लियोमेनिया,Bibliomanija,Bibliománia,Bibliomania,Bibliomania,ビブリオマニア,장서벽,Bibliomanie,Bibliomani,Bibliomania,Bibliomania,Bibliomania,Библиомания,Bibliomanía,Bibliomanija,Bibliomania,Bibliomani,บรรณานุกรม,Bibliyomani,Tài liệu tham khảo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,生物学,Biologie,بيولوجيا,Biologia,Biologie,Βιολογία,Biologia,Biologie,Bitheolaíocht,जीवविज्ञान,Biologija,Biológia,Biologi,Biologia,生物学,생물학,Biologie,Biologi,Biologia,Biologia,Biologie,Биология,Biología,Biologija,Biolojia,Biologi,ชีววิทยา,Biyoloji,Sinh học,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,加拿大,Kanada,كندا,Canadà,Kanada,Καναδάς,Kanada,Canada,Ceanada,कनाडा,Kanada,Kanada,Kanada,Canada,カナダ,캐나다,Canada,Canada,Kanada,Canadá,Canada,Канада,Canadá,Kanada,Kanada,Kanada,แคนาดา,Kanada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Fiction,儿童小说,Kinderfiksie,أدب الأطفال,Ficció infantil,Kinderliteratur,Παιδική Λογοτεχνία,Lasten kaunokirjallisuus,Fiction pour enfants,Ficsean do Pháistí,बच्चों की कथा,Dječja fikcija,Gyermekirodalom,Fiksi Anak-Anak,Narrativa per bambini,子供向けフィクション,아동 소설,Fictie voor kinderen,Skjønnlitteratur for barn,Literatura dziecięca,Ficção Infantil,Ficțiune pentru copii,Детская художественная литература,Ficción infantil,Dečija fantastika,Fiction ya watoto,Skönlitteratur för barn,นิยายเด็ก,Çocuk Kurgu,Tiểu thuyết thiếu nhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's History,儿童历史,Kinders se geskiedenis,تاريخ الأطفال,Història dels nens,Kindergeschichte,Ιστορία των παιδιών,Lasten historia,Histoire des enfants,Stair na bPáistí,बच्चों का इतिहास,Dječja povijest,Gyermektörténet,Sejarah Anak,Storia dei bambini,子供の歴史,어린이의 역사,Geschiedenis van kinderen,Barnas historie,Historia dzieci,História das Crianças,Istoria copiilor,История детей,Historia de los niños,Dečija istorija,Historia ya watoto,Barnens historia,ประวัติเด็ก,Çocuk Tarihi,Lịch sử trẻ em,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Literature,儿童文学,Kinderliteratuur,أدب الأطفال,Literatura infantil,Kinderliteratur,Παιδική Λογοτεχνία,Lastenkirjallisuus,Littérature pour enfants,Litríocht do Pháistí,बाल साहित्य,Dječja književnost,Gyermekirodalom,Sastra Anak,Letteratura per l'infanzia,児童文学,아동문학,Kinderliteratuur,Barnelitteratur,Literatura dziecięca,Literatura Infantil,Literatură pentru copii,Детская литература,Literatura Infantil,Dečija književnost,Fasihi ya watoto,Barnlitteratur,วรรณกรรมเด็ก,Çocuk Edebiyatı,Văn học thiếu nhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children's Myths, Fairy Tales, etc.",儿童神话、童话等,"Kindermites, sprokies, ens.",أساطير الأطفال ، حكايات خرافية ، إلخ.,"Mites infantils, contes de fades, etc.","Kindermythen, Märchen usw.","Παιδικοί Μύθοι, Παραμύθια κ.α.","Lasten myytit, sadut jne.","Mythes pour enfants, contes de fées, etc.","Miotais na bPáistí, Síscéalta, srl.","बच्चों के मिथक, परियों की कहानियां, आदि।","Dječji mitovi, bajke itd.","Gyermek mítoszok, mesék stb.","Mitos Anak-Anak, Dongeng, dll.","Miti per bambini, fiabe, ecc.",童話、童話など,"어린이 신화, 동화 등","Kindermythen, sprookjes, enz.","Barnas myter, eventyr, etc.","Mity dla dzieci, bajki itp.","Mitos Infantis, Contos de Fadas, etc.","Mituri pentru copii, basme etc.","Детские мифы, сказки и т.д.","Mitos infantiles, cuentos de hadas, etc.","Dečiji mitovi, bajke itd.","Hadithi za Watoto, Hadithi za Fairy, nk.","Myter för barn, sagor m.m.",ตํานานเด็ก เทพนิยาย ฯลฯ,"Çocuk Mitleri, Peri Masalları vb.","Thần thoại thiếu nhi, truyện cổ tích, v.v.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Picture Books,儿童图画书,Kinders se prenteboeke,كتب مصورة للأطفال,Àlbums il·lustrats infantils,Bilderbücher für Kinder,Παιδικά εικονογραφημένα βιβλία,Lasten kuvakirjat,Livres d’images pour enfants,Leabhair Pictiúr do Pháistí,बच्चों की चित्र पुस्तकें,Dječje slikovnice,Gyermek képeskönyvek,Buku Bergambar Anak-Anak,Libri illustrati per bambini,子供向け絵本,어린이 그림책,Prentenboeken voor kinderen,Bildebøker for barn,Książki z obrazkami dla dzieci,Livros Ilustrados Infantis,Cărți ilustrate pentru copii,Детские книжки с картинками,Libros ilustrados para niños,Dečije slikovnice,Kids Photo Books,Bilderböcker för barn,หนังสือภาพสําหรับเด็ก,Resimli Çocuk Kitapları,Sách ảnh thiếu nhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christianity,基督教,Christendom,مسيحية,Cristianisme,Christentum,Χριστιανισμός,Kristinusko,Christianisme,Críostaíocht,ईसाई धर्म,Kršćanstvo,Kereszténység,Agama Kristen,Cristianesimo,キリスト教,기독교,Christendom,Kristendom,Chrześcijaństwo,Cristianismo,Creștinism,Христианство,Cristianismo,Hriљжanstvo,Ukristo,Kristendom,ศาสนาคริสต์,Hıristiyanlık,Kitô giáo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas,圣诞节,Kersfees,عيد الميلاد,Nadal,Weihnachten,Χριστούγεννα,Joulu,Noël,An Nollaig,क्रिसमस,Božić,Karácsony,Natal,Natale,クリスマス,크리스마스,Kerstmis,Jul,Boże Narodzenie,Natal,Crăciun,Рождество,Navidad,Božić,Krismasi,Jul,คริสต์มาส,Noel,Giáng sinh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Antiquity,古典时代,Klassieke Oudheid,العصور القديمة الكلاسيكية,Antiguitat clàssica,Antike,Κλασική Αρχαιότητα,Klassinen antiikki,Antiquité classique,Seanchas Clasaiceach,शास्त्रीय पुरातनता,Klasična antika,Klasszikus ókor,Zaman Kuno Klasik,Antichità Classica,古典古代,고전 고대,Klassieke Oudheid,Klassisk antikk,Starożytność klasyczna,Antiguidade Clássica,Antichitatea clasică,Классическая античность,Antigüedad clásica,Klasična antika,Mambo ya kale ya kawaida,Antiken,สมัยโบราณคลาสสิก,Klasik Antik Çağ,Cổ đại cổ điển,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contemporary Reviews,现代评论,Kontemporêre resensies,مراجعات معاصرة,Ressenyes contemporànies,Zeitgenössische Rezensionen,Σύγχρονες κριτικές,Nykyaikaiset arvostelut,Critiques contemporaines,Léirmheasanna Comhaimseartha,समकालीन समीक्षा,Suvremene recenzije,Kortárs vélemények,Ulasan Kontemporer,Recensioni contemporanee,コンテンポラリーレビュー,컨템포러리 리뷰,Hedendaagse beoordelingen,Contemporary Anmeldelser,Współczesne recenzje,Comentários Contemporâneos,Recenzii contemporane,Современные обзоры,Reseñas contemporáneas,Savremene recenzije,Mapitio ya kisasa,Samtida recensioner,บทวิจารณ์ร่วมสมัย,Çağdaş İncelemeler,Đánh giá đương đại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookbooks and Cooking,烹饪书和烹饪,Kookboeke en kookkuns,كتب الطبخ والطبخ,Llibres de cuina i cuina,Kochbücher und Kochen,Βιβλία μαγειρικής και μαγειρική,Keittokirjat ja ruoanlaitto,Livres de cuisine et cuisine,Leabhair Chócaireachta agus Cócaireacht,कुकबुक और कुकिंग,Kuharice i kuhanje,Szakácskönyvek és főzés,Buku Masak dan Memasak,Libri di cucina e cucina,クックブックとクッキング,요리책과 요리,Kookboeken en koken,Kokebøker og matlaging,Książki kucharskie i gotowanie,Livros de receitas e culinária,Cărți de bucate și gătit,Кулинарные книги и кулинария,Libros de cocina y cocina,Kuvari i kuvanje,Vitabu vya kupikia na kupikia,Kokböcker och matlagning,ตําราอาหารและการทําอาหาร,Yemek Kitapları ve Yemek Pişirme,Sách dạy nấu ăn và nấu ăn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime Fiction,犯罪小说,Misdaadfiksie,خيال الجريمة,Novel·la negra,Kriminalliteratur,Αστυνομική λογοτεχνία,Rikoskirjallisuus,Fiction policière,Ficsean Coireachta,क्राइम फिक्शन,Kriminalistička fantastika,Krimi,Fiksi Kriminal,Narrativa poliziesca,犯罪小説,범죄 소설,Misdaad fictie,Kriminallitteratur,Literatura kryminalna,Ficção Policial,Ficțiune polițistă,Криминальное чтиво,Novela negra,Kriminalna izmišljotina,Udanganyifu wa Uhalifu,Kriminallitteratur,นิยายอาชญากรรม,Polisiye Kurgu,Tiểu thuyết tội phạm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime Nonfiction,犯罪非小说,Misdaad niefiksie,جريمة غير روائية,Crim No ficció,Krimi-Sachbücher,Αστυνομική Μη Μυθοπλασία,Rikos-tietokirjallisuus,Non-fiction policière,Nonfiction Coireachta,क्राइम नॉनफिक्शन,Nefikcija kriminala,Bűnügyi ismeretterjesztő irodalom,Nonfiksi Kejahatan,Saggistica poliziesca,犯罪ノンフィクション,범죄 논픽션,Misdaad non-fictie,Krim sakprosa,Kryminał Literatura faktu,Crime de não-ficção,Crimă Nonficțiune,Криминал Нон-фикшн,No ficción criminal,Nefikcionalnost kriminala,Uasi wa Uhalifu,Facklitteratur om kriminalitet,สารคดีอาชญากรรม,Kurgusal Olmayan Suç,Phi hư cấu tội phạm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detective Fiction,侦探小说,Speurfiksie,الخيال البوليسي,Ficció detectivesca,Kriminalromane,Αστυνομική μυθοπλασία,Etsivä fiktio,Fiction policière,Ficsean Bleachtaireachta,जासूसी कथा,Detektivska fikcija,Detektív fikció,Fiksi Detektif,Giallo,探偵小説,탐정 소설,Detective fictie,Detektiv fiksjon,Powieść detektywistyczna,Ficção Policial,Ficțiune polițistă,Детективная литература,Ficción detectivesca,Detektivska fikcija,Fiction ya Kugundua,Detektiv Fiktion,นิยายนักสืบ,Polisiye Kurgu,Tiểu thuyết trinh thám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
